date,limnotron,treatment,PVI,cover
27-jun,1,warm,2.490280848,2
2-jul,1,warm,5.22958978,4
10-jul,1,warm,3.735421272,0.5
23-jul,1,warm,2.324262125,5
1-aug,1,warm,2.490280848,10
8-aug,1,warm,1.992224678,10
19-sep,1,warm,6.640748927,10
27-jun,2,control,1.162131062,0
2-jul,2,control,0.747084254,0.5
10-jul,2,control,0,0
23-jul,2,control,NA,NA
1-aug,2,control,NA,NA
8-aug,2,control,1.494168509,12
19-sep,2,control,4.316486803,12
27-jun,3,control,0,0
2-jul,3,control,0,0
10-jul,3,control,9.338553179,35
23-jul,3,control,0.116213106,0.5
1-aug,3,control,1.992224678,0.5
8-aug,3,control,2.988337017,2
19-sep,3,control,4.648524249,15
27-jun,5,warm,1.328149785,7
2-jul,5,warm,1.369654466,10
10-jul,5,warm,0.083009362,0.5
23-jul,5,warm,9.131029775,35
1-aug,5,warm,13.94557275,35
8-aug,5,warm,1.328149785,12
19-sep,5,warm,0.166018723,0
27-jun,6,warm,2.324262125,0
2-jul,6,warm,3.320374464,0
10-jul,6,warm,12.45140424,10
23-jul,6,warm,5.312599142,12
1-aug,6,warm,3.984449356,8
8-aug,6,warm,1.162131062,5
19-sep,6,warm,0.830093616,25
27-jun,7,control,0,0
2-jul,7,control,0.024902808,0
10-jul,7,control,0.004150468,0.5
23-jul,7,control,0.830093616,3
1-aug,7,control,2.241252763,8
8-aug,7,control,2.324262125,12
19-sep,7,control,3.320374464,25
27-jun,8,warm,2.656299571,10
2-jul,8,warm,5.810655311,10
10-jul,8,warm,0.830093616,0.5
23-jul,8,warm,0.415046808,20
1-aug,8,warm,0,10
8-aug,8,warm,0,0.5
19-sep,8,warm,0.166018723,5
27-jun,9,control,0,0
2-jul,9,control,0,0
10-jul,9,control,1.120626381,0.5
23-jul,9,control,0.996112339,0
1-aug,9,control,3.320374464,0.5
8-aug,9,control,0.996112339,5
19-sep,9,control,0,0
