date,limnotron,treatment,Si
6-3-2014,1,warm,NA
13-3-2014,1,warm,NA
20-3-2014,1,warm,77.7501
27-3-2014,1,warm,NA
3-4-2014,1,warm,0
10-4-2014,1,warm,0
17-4-2014,1,warm,0.9968
24-4-2014,1,warm,0.2136
2-5-2014,1,warm,0.5696
8-5-2014,1,warm,1.3528
15-5-2014,1,warm,1.6946
22-5-2014,1,warm,2.4172
29-5-2014,1,warm,4.9341
5-6-2014,1,warm,7.0737
2-7-2014,1,warm,13.681
4-8-2014,1,warm,8.0812
6-3-2014,5,warm,171.0573
13-3-2014,5,warm,103.5244
20-3-2014,5,warm,81.7373
27-3-2014,5,warm,6.9847
3-4-2014,5,warm,0
10-4-2014,5,warm,0
17-4-2014,5,warm,0.5162
24-4-2014,5,warm,0.4023
2-5-2014,5,warm,0.7618
8-5-2014,5,warm,1.2033
15-5-2014,5,warm,2.9619
22-5-2014,5,warm,4.9021
29-5-2014,5,warm,5.3329
5-6-2014,5,warm,9.2702
2-7-2014,5,warm,15.5749
4-8-2014,5,warm,8.8857
6-3-2014,6,warm,131.7195
13-3-2014,6,warm,117.1591
20-3-2014,6,warm,54.717
27-3-2014,6,warm,6.7319
3-4-2014,6,warm,0
10-4-2014,6,warm,0
17-4-2014,6,warm,0.9149
24-4-2014,6,warm,0.3631
2-5-2014,6,warm,0.5162
8-5-2014,6,warm,0.2528
15-5-2014,6,warm,1.0929
22-5-2014,6,warm,1.6768
29-5-2014,6,warm,2.1538
5-6-2014,6,warm,4.393
2-7-2014,6,warm,39.409
4-8-2014,6,warm,15.34
6-3-2014,8,warm,116.6607
13-3-2014,8,warm,139.0886
20-3-2014,8,warm,92.7732
27-3-2014,8,warm,14.8523
3-4-2014,8,warm,2.0755
10-4-2014,8,warm,0.7725
17-4-2014,8,warm,0.6088
24-4-2014,8,warm,0.7262
2-5-2014,8,warm,0.3204
8-5-2014,8,warm,0.6194
15-5-2014,8,warm,1.5771
22-5-2014,8,warm,3.5279
29-5-2014,8,warm,3.9943
5-6-2014,8,warm,4.7063
2-7-2014,8,warm,19.7188
4-8-2014,8,warm,26.2834
6-3-2014,9,control,217.5507
13-3-2014,9,control,108.1168
20-3-2014,9,control,103.8448
27-3-2014,9,control,64.6493
3-4-2014,9,control,12.104
10-4-2014,9,control,0.591
17-4-2014,9,control,0.5945
24-4-2014,9,control,0.267
2-5-2014,9,control,0.2314
8-5-2014,9,control,0.7547
15-5-2014,9,control,6.0947
22-5-2014,9,control,1.3955
29-5-2014,9,control,2.0256
5-6-2014,9,control,2.9156
2-7-2014,9,control,8.0634
4-8-2014,9,control,6.5361
6-3-2014,2,control,142.079
13-3-2014,2,control,112.0328
20-3-2014,2,control,94.0548
27-3-2014,2,control,90.9576
3-4-2014,2,control,45.283
10-4-2014,2,control,1.8227
17-4-2014,2,control,0.0641
24-4-2014,2,control,0.3738
2-5-2014,2,control,0.0961
8-5-2014,2,control,0.2955
15-5-2014,2,control,0.6871
22-5-2014,2,control,1.3706
29-5-2014,2,control,1.3848
5-6-2014,2,control,1.6661
2-7-2014,2,control,11.8405
4-8-2014,2,control,20.9292
6-3-2014,3,control,134.3539
13-3-2014,3,control,97.8284
20-3-2014,3,control,53.649
27-3-2014,3,control,0
3-4-2014,3,control,0
10-4-2014,3,control,0
17-4-2014,3,control,0.6479
24-4-2014,3,control,0.4272
2-5-2014,3,control,0.477
8-5-2014,3,control,0.1638
15-5-2014,3,control,1.3314
22-5-2014,3,control,2.1787
29-5-2014,3,control,2.6664
5-6-2014,3,control,4.8629
2-7-2014,3,control,10.9754
4-8-2014,3,control,6.23
6-3-2014,7,control,NA
13-3-2014,7,control,NA
20-3-2014,7,control,82.9833
27-3-2014,7,control,NA
3-4-2014,7,control,0
10-4-2014,7,control,0.655
17-4-2014,7,control,0.7262
24-4-2014,7,control,0.5376
2-5-2014,7,control,0.5482
8-5-2014,7,control,0.2919
15-5-2014,7,control,2.1858
22-5-2014,7,control,1.6305
29-5-2014,7,control,2.4422
5-6-2014,7,control,3.503
2-7-2014,7,control,12.5205
4-8-2014,7,control,50.5162
